year,county,dem,rep,dem_v,dem_s,rep_v,rep_s
2016,8065,Hillary Clinton,Donald J. Trump,1616,50.52%,1270,39.70%
2016,8067,Hillary Clinton,Donald J. Trump,15525,49.84%,12587,40.41%
2016,8069,Hillary Clinton,Donald J. Trump,93113,47.51%,83430,42.57%
2016,8071,Hillary Clinton,Donald J. Trump,2650,39.01%,3710,54.62%
2016,8073,Hillary Clinton,Donald J. Trump,409,16.79%,1892,77.67%
2016,8075,Hillary Clinton,Donald J. Trump,1851,19.04%,7282,74.90%
2016,8077,Hillary Clinton,Donald J. Trump,21729,27.98%,49779,64.10%
2016,8079,Hillary Clinton,Donald J. Trump,237,36.35%,344,52.76%
2016,8081,Hillary Clinton,Donald J. Trump,874,13.39%,5305,81.30%
2016,8083,Hillary Clinton,Donald J. Trump,3973,30.90%,7853,61.07%
2016,8085,Hillary Clinton,Donald J. Trump,5466,25.80%,14382,67.88%
2016,8087,Hillary Clinton,Donald J. Trump,3151,26.35%,8145,68.10%
2016,8089,Hillary Clinton,Donald J. Trump,2943,34.82%,4928,58.31%
2016,8091,Hillary Clinton,Donald J. Trump,1697,51.27%,1351,40.82%
2016,8093,Hillary Clinton,Donald J. Trump,3421,32.84%,6135,58.89%
2016,8095,Hillary Clinton,Donald J. Trump,436,18.70%,1791,76.80%
2016,8097,Hillary Clinton,Donald J. Trump,7333,69.69%,2550,24.23%
2016,8099,Hillary Clinton,Donald J. Trump,1186,23.64%,3531,70.39%
2016,8101,Hillary Clinton,Donald J. Trump,35875,45.62%,36265,46.11%
2016,8103,Hillary Clinton,Donald J. Trump,436,12.64%,2791,80.90%
2016,8105,Hillary Clinton,Donald J. Trump,2001,36.16%,3085,55.75%
2016,8107,Hillary Clinton,Donald J. Trump,7600,54.34%,5230,37.39%
2016,8109,Hillary Clinton,Donald J. Trump,1417,49.98%,1147,40.46%
2016,8111,Hillary Clinton,Donald J. Trump,265,52.37%,215,42.49%
2016,8113,Hillary Clinton,Donald J. Trump,2975,68.72%,1033,23.86%
2016,8115,Hillary Clinton,Donald J. Trump,267,19.57%,1015,74.41%
2016,8117,Hillary Clinton,Donald J. Trump,9557,59.09%,5100,31.53%
2016,8119,Hillary Clinton,Donald J. Trump,3603,24.94%,9745,67.47%
2016,8121,Hillary Clinton,Donald J. Trump,296,10.83%,2299,84.12%
2016,8123,Hillary Clinton,Donald J. Trump,46519,34.35%,76651,56.60%
2016,8125,Hillary Clinton,Donald J. Trump,726,15.15%,3850,80.36%
2016,9001,Hillary Clinton,Donald J. Trump,243852,57.89%,160077,38.00%
2016,9003,Hillary Clinton,Donald J. Trump,240403,59.09%,148173,36.42%
2016,9005,Hillary Clinton,Donald J. Trump,39775,40.82%,53051,54.44%
2016,9007,Hillary Clinton,Donald J. Trump,45357,51.18%,38867,43.86%
2016,9009,Hillary Clinton,Donald J. Trump,205609,54.25%,159048,41.96%
2016,9011,Hillary Clinton,Donald J. Trump,62278,50.42%,54058,43.76%
2016,9013,Hillary Clinton,Donald J. Trump,38506,49.73%,34194,44.16%
2016,9015,Hillary Clinton,Donald J. Trump,21792,42.88%,25747,50.66%
2016,10001,Hillary Clinton,Donald J. Trump,33351,44.63%,36991,49.50%
2016,10003,Hillary Clinton,Donald J. Trump,162919,61.95%,85525,32.52%
2016,10005,Hillary Clinton,Donald J. Trump,39333,37.07%,62611,59.01%
2016,11001,Hillary Clinton,Donald J. Trump,282830,90.86%,12723,4.09%
2016,12001,Hillary Clinton,Donald J. Trump,75820,58.28%,46834,36.00%
2016,12003,Hillary Clinton,Donald J. Trump,2112,16.62%,10294,81.02%
2016,12005,Hillary Clinton,Donald J. Trump,21797,24.71%,62194,70.50%
2016,12007,Hillary Clinton,Donald J. Trump,2924,24.05%,8913,73.31%
2016,12009,Hillary Clinton,Donald J. Trump,119679,37.62%,181848,57.16%
2016,12011,Hillary Clinton,Donald J. Trump,553320,66.08%,260951,31.16%
2016,12013,Hillary Clinton,Donald J. Trump,1241,20.25%,4655,75.96%
2016,12015,Hillary Clinton,Donald J. Trump,33445,34.41%,60218,61.96%
2016,12017,Hillary Clinton,Donald J. Trump,22789,28.34%,54456,67.72%
2016,12019,Hillary Clinton,Donald J. Trump,27822,25.93%,74963,69.85%
2016,12021,Hillary Clinton,Donald J. Trump,61085,35.41%,105423,61.11%
2016,12023,Hillary Clinton,Donald J. Trump,7601,26.33%,20368,70.57%
2016,12027,Hillary Clinton,Donald J. Trump,3781,34.68%,6778,62.17%
2016,12029,Hillary Clinton,Donald J. Trump,1270,17.53%,5822,80.35%
2016,12031,Hillary Clinton,Donald J. Trump,205704,47.12%,211672,48.48%
2016,12033,Hillary Clinton,Donald J. Trump,57461,37.27%,88808,57.60%
2016,12035,Hillary Clinton,Donald J. Trump,22026,37.98%,33850,58.38%
2016,12037,Hillary Clinton,Donald J. Trump,1744,28.78%,4125,68.08%
2016,12039,Hillary Clinton,Donald J. Trump,15020,67.62%,6728,30.29%
2016,12041,Hillary Clinton,Donald J. Trump,1458,17.21%,6740,79.56%
2016,12043,Hillary Clinton,Donald J. Trump,1271,29.01%,2996,68.37%
2016,12045,Hillary Clinton,Donald J. Trump,1720,23.46%,5329,72.69%
2016,12047,Hillary Clinton,Donald J. Trump,1904,34.67%,3443,62.70%
2016,12049,Hillary Clinton,Donald J. Trump,2149,28.11%,5242,68.57%
2016,12051,Hillary Clinton,Donald J. Trump,4615,41.27%,6195,55.40%
2016,12053,Hillary Clinton,Donald J. Trump,31795,33.59%,58970,62.30%
2016,12055,Hillary Clinton,Donald J. Trump,14937,32.46%,29565,64.26%
