"","year","county","dem","rep","dem_v","dem_s","rep_v","rep_s"
"148",2016,5131,"Hillary Clinton","Donald J. Trump",12300,"27.56%",29127,"65.25%"
"149",2016,5133,"Hillary Clinton","Donald J. Trump",1075,"23.56%",3282,"71.94%"
"150",2016,5135,"Hillary Clinton","Donald J. Trump",1472,"20.31%",5407,"74.59%"
"151",2016,5137,"Hillary Clinton","Donald J. Trump",1203,"21.41%",4113,"73.21%"
"152",2016,5139,"Hillary Clinton","Donald J. Trump",5855,"34.66%",10456,"61.89%"
"153",2016,5141,"Hillary Clinton","Donald J. Trump",1549,"21.11%",5382,"73.33%"
"154",2016,5143,"Hillary Clinton","Donald J. Trump",33366,"40.76%",41476,"50.67%"
"155",2016,5145,"Hillary Clinton","Donald J. Trump",5170,"18.46%",21077,"75.28%"
"156",2016,5147,"Hillary Clinton","Donald J. Trump",1118,"43.49%",1347,"52.39%"
"157",2016,5149,"Hillary Clinton","Donald J. Trump",1480,"22.98%",4608,"71.56%"
"158",2016,6001,"Hillary Clinton","Donald J. Trump",514842,"78.06%",95922,"14.54%"
"159",2016,6003,"Hillary Clinton","Donald J. Trump",334,"55.48%",217,"36.05%"
"160",2016,6005,"Hillary Clinton","Donald J. Trump",6004,"33.42%",10485,"58.37%"
"161",2016,6007,"Hillary Clinton","Donald J. Trump",41567,"42.85%",45144,"46.54%"
"162",2016,6009,"Hillary Clinton","Donald J. Trump",7944,"33.76%",13511,"57.42%"
"163",2016,6011,"Hillary Clinton","Donald J. Trump",2661,"39.73%",3551,"53.02%"
"164",2016,6013,"Hillary Clinton","Donald J. Trump",319287,"67.50%",115956,"24.51%"
"165",2016,6015,"Hillary Clinton","Donald J. Trump",3485,"36.46%",5134,"53.71%"
"166",2016,6017,"Hillary Clinton","Donald J. Trump",36404,"38.26%",49247,"51.76%"
"167",2016,6019,"Hillary Clinton","Donald J. Trump",141341,"49.24%",124049,"43.21%"
"168",2016,6021,"Hillary Clinton","Donald J. Trump",3065,"32.37%",5788,"61.12%"
"169",2016,6023,"Hillary Clinton","Donald J. Trump",33200,"55.32%",18373,"30.61%"
"170",2016,6025,"Hillary Clinton","Donald J. Trump",32667,"67.93%",12704,"26.42%"
